No,자료시점,분류,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,분류,계,기소(소계),기소(소계),기소(소계),기소(소계),소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),불기소(소계),불기소(소계),불기소(소계),불기소(소계),기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,계,기소(소계),구공판 구속,구공판 불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2018년,계,계[입력치],계[입력치],계[입력치],"1,755,435","704,758","26,021","160,150","518,587","23,544","19,589",459,"2,782","893,943","268,731","293,558","3,666","327,988","104,930","5,430",0
2,2018년,형법범,형법범계[입력치],형법범계[입력치],형법범계[입력치],"958,949","286,161","19,759","98,863","167,539","19,986","19,487",3,372,"552,628","181,775","212,361","3,382","155,110","75,967","4,345",0
3,2018년,형법범,재산범죄,재산범죄의 계[입력치],재산범죄의 계[입력치],"453,680","125,334","11,114","50,173","64,047","11,018","1,664",0,3,"247,815","111,385","127,404",367,"8,659","64,383","3,463",0
4,2018년,형법범,재산범죄,절도,절도의 소계[입력치],"97,238","32,710","4,311","9,329","19,070","7,514",1,0,0,"54,718","41,799","11,571",72,"1,276","2,195",100,0
5,2018년,형법범,재산범죄,절도,불법사용,664,123,4,27,92,167,0,0,0,357,249,91,4,13,16,1,0
6,2018년,형법범,재산범죄,절도,절도,"93,604","30,688","3,659","8,158","18,871","7,230",1,0,0,"53,472","40,924","11,359",66,"1,123","2,114",99,0
7,2018년,형법범,재산범죄,절도,침입절도,"2,970","1,899",648,"1,144",107,117,0,0,0,889,626,121,2,140,65,0,0
8,2018년,형법범,재산범죄,사기,사기의 소계[입력치],"278,907","70,997","6,196","34,889","29,912","2,732",0,0,1,"143,344","45,896","91,813",23,"5,612","58,848","2,985",0
9,2018년,형법범,재산범죄,사기,보험사기방지특별법,"5,966","2,418",90,624,"1,704",31,0,0,0,"3,091","1,983","1,082",0,26,424,2,0
10,2018년,형법범,재산범죄,사기,부당이득,61,9,1,6,2,0,0,0,0,51,0,50,0,1,1,0,0
11,2018년,형법범,재산범죄,사기,사기,"267,113","67,087","6,018","33,762","27,307","2,657",0,0,1,"137,529","42,214","89,774",21,"5,520","56,885","2,954",0
12,2018년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,"2,502",401,46,173,182,0,0,0,0,"1,223",908,299,0,16,872,6,0
13,2018년,형법범,재산범죄,사기,컴퓨터등사용사기,"2,383",744,40,310,394,42,0,0,0,"1,019",600,384,2,33,564,14,0
14,2018년,형법범,재산범죄,사기,편의시설부정이용,882,338,1,14,323,2,0,0,0,431,191,224,0,16,102,9,0
15,2018년,형법범,재산범죄,배임,배임의 소계[입력치],"6,781","1,522",78,989,455,0,0,0,0,"4,906",354,"4,372",0,180,261,92,0
16,2018년,형법범,재산범죄,배임,배임,"5,676","1,029",36,656,337,0,0,0,0,"4,332",211,"3,975",0,146,245,70,0
17,2018년,형법범,재산범죄,배임,배임수재,804,337,36,224,77,0,0,0,0,447,119,300,0,28,10,10,0
18,2018년,형법범,재산범죄,배임,배임증재,301,156,6,109,41,0,0,0,0,127,24,97,0,6,6,12,0
19,2018년,형법범,재산범죄,손괴,손괴의 소계[입력치],"36,194","11,202",196,"1,921","9,085",271,"1,663",0,2,"22,074","14,170","6,704",266,934,964,18,0
20,2018년,형법범,재산범죄,손괴,손괴,"36,191","11,199",196,"1,918","9,085",271,"1,663",0,2,"22,074","14,170","6,704",266,934,964,18,0
21,2018년,형법범,재산범죄,손괴,손괴치사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2018년,형법범,재산범죄,손괴,손괴치상,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2018년,형법범,재산범죄,장물,장물,"1,698",495,42,135,318,109,0,0,0,"1,044",646,371,1,26,38,12,0
24,2018년,형법범,재산범죄,횡령,횡령,"32,862","8,408",291,"2,910","5,207",392,0,0,0,"21,729","8,520","12,573",5,631,"2,077",256,0
25,2018년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],강력범죄(흉악)의 계[입력치],"34,317","16,556","3,208","9,108","4,240","1,369",54,2,30,"15,241","5,647","8,909",54,631,"1,011",54,0
26,2018년,형법범,강력범죄(흉악),살인,살인의 소계[입력치],859,668,575,86,7,2,2,0,1,163,27,77,1,58,23,0,0
27,2018년,형법범,강력범죄(흉악),살인,살인(기수),347,253,217,36,0,2,0,0,0,76,2,34,0,40,16,0,0
